MetricId,Metric,State,Interpretatoin,Remarks,MatricMapping
1a.1.1,Number of operating systems supported,REMOVED,,,
1a.1.2,Support for Function and Class Components,ADDED,1,,"No=1
Yes=5"
1a.1.3,Adoption of React Suspense ,ADDED,1,,"Implementation available=5
Planned=3
No=1"
1a.2.1,Time required for installation,REMOVED,,Irrelevant for npm packages. They all take roughly the same time to install,
1a.2.2,Availability of the installation manual,KEPT,1,,"No=1
Yes=5"
1a.2.3,Automation level and use of installation scripts,REMOVED,,,
1a.2.4,Dependence on third-party components,KEPT,0,,"0=1
1-5=2
5-10=3
10-15=4
15-20=5"
1a.2.5,Nominal length of the installation procedures,REMOVED,,Repetitive: see 1a.2.1,
1a.2.6,Number of configuration files Minimum number of files added and changed for minimum functionality,CHANGED,0,,"One file=1
Two files = 3
Three and higer=5"
1a.2.7,Availability and rationality of default options,CHANGED,1,,"No default options=1
Default options provided=3
Useful/rational default options provided=5"
1a.2.8,Internationalisation of the manual,KEPT,1,,"Multiple languages supported=5
English supported=3
Only non-english language supported=1"
1a.2.9,Number of unforeseen issues,KEPT,0,,"Zeo issues=1
Two/Three issues=3
More issues=5"
1a.2.10,Degree of knowledge of the required operating environment,KEPT,0,,"Little previous knowledge required=1
Medium knowledge required=3
Understanding of a paradigm required=5"
1a.2.11,Efficacy of the guide,KEPT,1,,"Installation guide non existing=1
Installation guide available=5"
1a.3.1,Existence of other libraries with the same functionality and a similar API,ADDED,1,,"No equivalent library available=1
< 3 Similar libraries available=3
3+ similar libraries available=5"
,,,,,
1b.1.1,Availability and quality of developer tools,ADDED,1,,"No=1
Yes=3
Yes, with advanced debugging features=5"
,// because libraries cannot be changed by definition,,,,
1b.3.1,Possibility to test business logic without React,ADDED,1,,"No=1
Yes=5"
,"// ambiguous term: ""Technology concentration""",,,,
1b.5.1,Breaking API changes,ADDED,1,,"Breaking API changes in major versions=1
Breaking API  changes in major versions with migrations guide=3
Breaking API  changes in major versions with migration guide and codemod=4
No breaking API changes introduced major update=5"
1b.6.1,Code duplication,ADDED,0,,"0=1
1-10=2
10-20=3
10-30=4
30+=5"
1b.6.2,Cyclomatic complexity,ADDED,0,,"0-92=1(Base 82)
92-102=2
102-112=3
112-122=4
122+=5"
1b.6.3,Cognitive complexity,ADDED,0,,"1-10=1
11-20=2
21-50=4
Over 50=5"
,// non applicable to domain,,,,
,// non applicable to domain,,,,
1d.1.1,Possibility to share state without prop drilling.,ADDED,1,,"No=1
Yes=5"
1d.1.2,Possibility to have derived state.,ADDED,1,,"No=1
Yes, through React=3
Yes=5"
1d.2.1,Level of data importability,REMOVED,,,
1d.2.2,Level of data exportability,REMOVED,,,
1d.2.3,Availability of community plugins,ADDED,1,,"No=1
Yes=5"
1d.3.1,Lines of code,ADDED,0,,"0-685=1
685-710=2
710-735=3
735-760=4
760+=5"
1d.3.2,Statement count,ADDED,0,,"0-114=1
114-124=2
124-144=3
134-144=4
Over 144=5"
1d.3.3,Functions count,ADDED,0,,"0-59=1
59-69=2
69-79=3
79-89=4
Over 89=5"
,// non applicable to domain,,,,
1e.2.1,Availability and quality of developer tools (same as 1b.1.1),ADDED,1,,"No=1
Yes=3
Yes, with advanced debugging features=5"
,// non applicable to domain,,,,
-,Same metrics as in Question 2.5,ADDED,,,-
1f.1.1,First Contentful Paint,ADDED,0,,"0-1.8=1
1.8-3=3
Over 3=5"
1f.1.2,Speed Index,ADDED,0,,"0–3.4=1
3.4–5.8=3
Over 5.8=5"
1f.1.3,Largest Contentful Paint,ADDED,0,,"0–2.5=1
2.5–4=3
Over 4=5"
1f.1.4,Time to Interactive,ADDED,0,,"0–3.8=1
3.8–7.3=3
Over 7.3=5"
1f.1.5,Total Blocking Time,ADDED,0,,"0–200=1
200–600=3
Over 600=5"
1f.1.6,Cumulative Layout Shift,ADDED,0,,"0–0.1=1
0.1–0.25=3
Over 0.25=5"
1f.2.1,Efficient re-renders,ADDED,1,,"Redundant re-renders=1
Suboptimal re-renders=3
Optimal re-renders=5"
2.1.1,Number of committers,KEPT,1,,"0-100=1
100-200=2
200-300=3
300-400=4
Over 400=5"
2.2.1,Number of major releases per year,REMOVED,,,
2.2.2,Average number of commits per year,KEPT,1,,"0=1
1-10=2
10-100=3
100-1000=4
Over 1000=5"
2.2.3,Average number of commits per committer,KEPT,1,More homogeonous devs. (doesn't rely on a selected few),"0-2.5=1
2.5-5=2
5-7.5=3
7.5-10=4
Over 10=5"
2.2.4,Closed bugs index issues on GitHub,CHANGED,1,: closed issues on github,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
2.2.5,Index of satisfied requests merged pull requests on GitHub,CHANGED,1,,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
2.3.1,Average number of threads per year on StackOverflow,KEPT,1,In stackoverflow,"0-200=1
200-400=2
400-600=3
600-800=4
Over 800=5"
2.3.2,Index of unanswered threads on StackOverflow,KEPT,0,In stackoverflow,"0-5=1
5-10=2
10-15=3
15-20=4
Over 20=5"
2.3.3,Number of forums,REMOVED,,Irrelevant?,
2.3.4,Average number of threads per forum,REMOVED,,,
2.3.5,Average number of posts per year,REMOVED,,,
2.3.6,Forum internationalisation level,REMOVED,,,
2.3.7,Number of trackers,REMOVED,,"Ambiguity of the term ""tracker""",
2.3.8,Volume of Wikis Usability of the documentation (same as 2.5.6),CHANGED,1,How big the docu is,"Documentation provides no instructions=1
Documentation includes intallation instructions=2
Documentation provides project setup=3
Documentation provides hello world=4
Documentation provides advanced examples and guides=5"
2.3.9,Number of faqs in the documentation,CHANGED,1,In the documentation,"No FAQ available=5
< 10 Questions=3
11+ Questions=5"
2.4.1,Availability of training services,KEPT,1,,"No=1
Yes=5"
2.4.2,Temporal coverage of training services,REMOVED,,,
2.4.3,Availability of e-learning services,REMOVED,,,
2.4.4,Availability of phone assistance,REMOVED,,Not applicable to domain,
2.4.5,Availability of certification services,KEPT,1,,"No=1
Yes=5"
2.4.6,Availability of outsourcing services,REMOVED,,,
2.4.7,Availability of maintenance  services,REMOVED,,,
2.4.8,Availability of information and services for TCO estimation,REMOVED,,,
2.4.9,Availability of consulting services,KEPT,1,,"No=1
Yes=5"
2.5.1,Number of topics covered in the administrator documentation,REMOVED,,Not suitable to context,
2.5.2,Number of topics covered in the user documentation,REMOVED,,,
2.5.3,Number of topics covered in the technical documentation,REMOVED,,Number of topics covered by the documentation is irrelevant,
2.5.4,Number of topics covered in the other documents,REMOVED,,,
2.5.5,Number of additional documentation files,REMOVED,,,
2.5.6,Usability of the documentation,KEPT,1,,"Documentation provides no instructions=1
Documentation includes installation instructions=2
Documentation provides project setup=3
Documentation provides hello world=4
Documentation provides advanced examples and guides=5"
,// Same as 1d.1,,,,
3.2.1,Number of weekly downloads,CHANGED,1,,"0-250K=1
250K-500K=2
500K-750K=3
750K-1M=4
Over 1M=5"
3.2.2,Freshmeat popularity index Number of stars on GitHub,CHANGED,1,,"0-50=1
50-500=2
500-5K=3
5K-50k=4
Over 50K=5"
3.2.3,Number of rating source forge users Number of forks on GitHub,CHANGED,1,,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
3.2.4,Positive rating index,REMOVED,,,
3.2.5,Number of success stories,REMOVED,,,
3.2.6,Google visibility,REMOVED,,,
3.2.7,Number of official partners/spronsors,CHANGED,1,,"None=1
Many=5"
3.2.8,Number of published books,KEPT,1,,"None=1
Many=5"
3.2.9,Number of citations by domain expert,REMOVED,,Ambiguous: Who are domain experts,
3.2.10,Number State of academic publications,CHANGED,1,,"No academic publications found: 1
Academic publications done by the users of the software product: 3
Academic publications done by the authors of the software product: 5"
3.2.11,Sponsor availability,KEPT,1,,"No=1
Yes=5"
3.3.1,Availability of services and information for the estimation of the TCO,REMOVED,,,
3.3.2,Availability of an edition without license cost,REMOVED,,,
3.3.3,Cost of the minimal edition,REMOVED,,,
3.3.4,Cost of the complete edition,REMOVED,,,
3.4.1,License type,KEPT,1,,"Commercial usage allowed=5
Commercial not usage allowed=1"